dis_ID,district,sub_ID,subdist,pop1851,pop_house,supplier,supplierID,perc_sou,mostly sv,perc_lam,mostly lam,perc_other,lam_degree,d_overall,d_sou,d_lam,d_pump,d_thames,d_unasc,rate_sou7w,rate_lam7w,rate_oth7w,deaths1849,deaths1854,rate1849,rate1854,pop1849,pop1854,rAvSupR_49,rAvSupR_54,pred_Snow,pred_DiD49,pred_DiD54
2,Camberwell,31,Dulwich,1632,6.3,Lambeth,3,0,0,0.024720249,0,0.975279751,all,0,0,0,0,0,0,,0,0,1,0,6.12745098,0,1632,1632,,,27,,
3,Lambeth,29,Norwood,3977,6.6,Lambeth,3,0,0,0.273631416,0,0.726368584,all,8,0,2,1,5,0,,16.82186938,19.01097617,2,10,5.334755935,23.01495972,3749,4345,,,27,,
9,Wandsworth,30,Streatham,9023,6.4,Lambeth,3,0,0,0.368857444,0,0.631142556,all,6,0,1,5,0,0,,2.985436043,8.723863556,154,15,171.3967724,16.51800463,8985,9081,,,27,,
9,Wandsworth,10,Putney,5280,5.7,SouthwarkVauxhall,1,0.017755622,0,0,0,0.982244378,dirty_none,1,0,0,1,0,0,0,,1.860180127,8,9,15.51891368,16.44436324,5155,5473,134.8610829,146.6114736,160,42.71559635,43.22785796
9,Wandsworth,9,Wandsworth,9611,6.3,SouthwarkVauxhall,1,0.115570442,0,0,0,0.884429558,dirty_none,11,1,0,2,8,0,8.395819357,,10.97101007,97,59,105.7451216,57.24820493,9173,10306,134.8610829,146.6114736,148,49.79881286,50.3960191
3,Lambeth,26,Brixton,14610,6.1,SouthwarkVauxhall_Lambeth,2,0.137274972,0,0.64076825,1,0.221956777,less_Lambeth,9,5,2,0,0,2,22.36613167,1.916643091,0,81,48,59.60264901,29.47497697,13590,16285,130.1020493,84.85785393,50,107.3250996,48.74043338
6,St. George Southwark,16,London Road,17836,7.5,SouthwarkVauxhall_Lambeth,2,0.16019764,0,0.669581611,1,0.170220749,more_Lambeth,29,21,8,0,0,0,71.36763585,6.504659961,0,257,93,146.9411092,50.6315331,17490,18368,130.1020493,84.85785393,54,114.9866134,50.37178913
3,Lambeth,22,Lambeth Church (1st),18409,7.5,SouthwarkVauxhall_Lambeth,2,0.169753126,0,0.830246874,1,0,more_Lambeth,18,6,9,0,1,2,19.20009031,5.888505198,,215,49,116.7907002,26.61741539,18409,18409,130.1020493,84.85785393,49,140.3027474,50.27499013
8,St. Saviour Southwark,13,Christchurch Southwark,16022,8.5,SouthwarkVauxhall_Lambeth,2,0.180344,0,0.807444777,1,0.012211222,more_Lambeth,25,11,13,0,0,1,37.03372412,9.775453706,0,256,113,162.7463446,68.6095932,15730,16470,130.1020493,84.85785393,57,138.9759927,51.23998475
3,Lambeth,20,Waterloo Road (1st),14088,8.1,SouthwarkVauxhall_Lambeth,2,0.2365918,0,0.7634082,1,0,more_Lambeth,10,9,1,0,0,0,26.19668243,0.902083323,,193,58,139.7841675,39.94215274,13807,14521,130.1020493,84.85785393,57,144.3291512,56.22619567
4,Newington,19,St. Mary Newington,14033,6.1,SouthwarkVauxhall_Lambeth,2,0.23795472,0,0.5117758,1,0.25026948,less_Lambeth,21,19,1,1,0,0,54.61873178,1.336603482,2.733219068,143,92,104.7235445,62.93180108,13655,14619,130.1020493,84.85785393,74,108.4248561,57.85891808
2,Camberwell,12,Peckham,19444,5.6,SouthwarkVauxhall,1,0.3049093,0,0,0,0.6950907,dirty_none,59,59,0,0,0,0,87.23296613,,0,92,174,51.6592734,78.44197998,17809,22182,134.8610829,146.6114736,151,67.01911251,67.8228311
2,Camberwell,28,St. George  Camberwell,15849,5.6,SouthwarkVauxhall_Lambeth,2,0.311698849,0,0.511955468,1,0.176345683,less_Lambeth,42,30,9,2,0,1,56.15984726,10.25770453,6.617668738,176,132,120.7298669,77.02182285,14578,17138,130.1020493,84.85785393,86,121.7456676,64.95272789
3,Lambeth,23,Lambeth Church (2nd),26784,7,SouthwarkVauxhall_Lambeth,2,0.326115525,0,0.636830341,1,0.037054133,less_Lambeth,53,34,13,1,0,5,37.15256666,7.274463768,9.617113016,544,193,209.5128057,68.77628109,25965,28062,130.1020493,84.85785393,71,143.6755759,65.57067238
3,Lambeth,21,Waterloo Road (2nd),18348,8.4,SouthwarkVauxhall_Lambeth,2,0.373706039,0,0.626293961,1,0,less_Lambeth,36,25,8,1,2,0,35.83538712,6.84248684,,243,117,133.9802613,62.67409471,18137,18668,130.1020493,84.85785393,75,152.9542938,70.73110993
3,Lambeth,25,Kennington (2nd),18848,5.7,SouthwarkVauxhall_Lambeth,2,0.4449513,0,0.304527261,0,0.250521439,less_Lambeth,38,34,3,1,0,0,37.12425634,4.786151093,1.939306389,153,142,86.08079217,68.98897148,17774,20583,130.1020493,84.85785393,105,118.3201184,81.81874694
4,Newington,17,Trinity Newington,20922,6.5,SouthwarkVauxhall_Lambeth,2,0.508535138,1,0.491464862,1,0,less_Lambeth,58,52,6,0,0,0,47.92804675,5.722240807,,318,210,153.9877004,98.42981017,20651,21335,130.1020493,84.85785393,100,161.9381523,88.63823936
9,Wandsworth,27,Clapham,16290,6.1,SouthwarkVauxhall_Lambeth,2,0.511968968,1,0.007995019,0,0.480036013,less_Lambeth,24,19,0,5,0,0,21.4443686,0,6.018655488,114,165,72.97401101,95.34265573,15622,17306,130.1020493,84.85785393,157,93.58934792,93.76952572
4,Newington,18,St. Peter Walworth,29861,6.1,SouthwarkVauxhall_Lambeth,2,0.53221892,1,0.46778108,0,0,less_Lambeth,90,84,4,0,0,2,52.47000974,2.842755492,,446,388,157.0865032,128.9893617,28392,30080,130.1020493,84.85785393,103,163.5698662,92.22261985
6,St. George Southwark,15,Borough Road,15862,7.7,SouthwarkVauxhall_Lambeth,2,0.561958174,1,0.438041826,0,0,less_Lambeth,71,61,7,0,0,3,66.97248513,9.85945777,,312,270,199.5522865,166.5844028,15635,16208,130.1020493,84.85785393,103,165.6420812,96.92943108
2,Camberwell,11,Camberwell,17742,6.2,SouthwarkVauxhall,1,0.600740291,1,0,0,0.399259709,dirty_none,96,96,0,0,0,0,84.45792107,,0,235,240,138.7904559,126.8431901,16932,18921,134.8610829,146.6114736,151,106.591347,107.8696309
3,Lambeth,24,Kennington (1st),24261,6.1,SouthwarkVauxhall_Lambeth,2,0.669620435,1,0.110225171,0,0.220154393,less_Lambeth,71,63,5,3,0,0,34.335663,16.55475698,4.973103357,187,303,81.56678008,110.5799058,22926,27401,130.1020493,84.85785393,141,134.7305892,118.7906446
9,Wandsworth,8,Battersea,10560,6,SouthwarkVauxhall,1,0.678322596,1,0,0,0.321677404,dirty_none,54,42,0,4,8,0,50.96085764,,30.70325449,111,171,115.4086089,140.7407407,9618,12150,134.8610829,146.6114736,154,120.3848561,121.8285569
6,St. George Southwark,14,Kent Road,18126,7.1,SouthwarkVauxhall_Lambeth,2,0.683466865,1,0.225837247,0,0.090695888,less_Lambeth,57,52,5,0,0,0,40.1852287,11.69378214,0,267,174,156.9111425,91.90302646,17016,18933,130.1020493,84.85785393,128,157.1810452,119.9304501
5,Rotherhithe,7,Rotherhithe,17805,6.4,SouthwarkVauxhall,1,0.779875854,1,0,0,0.220124146,dirty_none,103,68,0,0,35,0,45.48190756,,82.93838863,352,282,207.6818691,147.097178,16949,19171,134.8610829,146.6114736,160,141.1728033,142.8658011
8,St. Saviour Southwark,1,St. Saviour Southwark,19709,7.3,SouthwarkVauxhall,1,0.826838241,1,0,0,0.173161759,dirty_none,125,115,0,0,10,0,69.08261875,,28.6839871,283,371,145.6360642,184.2745741,19432,20133,134.8610829,146.6114736,153,151.9645632,153.7869798
7,St. Olave Southwark,3,St. John Horsleydown,11360,7.7,SouthwarkVauxhall,1,0.837218925,1,0,0,0.162781075,dirty_none,51,48,0,0,3,0,49.81551338,,16.01325992,192,148,172.972973,128.5950126,11100,11509,134.8610829,146.6114736,160,154.4591927,156.3115258
1,Bermondsey,6,Leather Market,15295,6.7,SouthwarkVauxhall,1,0.922355254,1,0,0,0.077644746,dirty_none,81,81,0,0,0,0,54.39708708,,0,226,237,153.178799,146.8037661,14754,16144,134.8610829,146.6114736,150,176.5263537,178.6433246
1,Bermondsey,4,St. James Bermondsey,18899,6.6,SouthwarkVauxhall,1,1,1,0,0,0,dirty_none,123,102,0,0,21,0,53.3082471,,,249,362,143.2186817,189.1920142,17386,19134,134.8610829,146.6114736,156,199.3893665,201.7805194
7,St. Olave Southwark,2,St. Olave Southwark,8015,9.1,SouthwarkVauxhall,1,1,1,0,0,0,dirty_none,53,43,0,0,5,5,53.64940736,,,157,161,195.8827199,200.8733624,8015,8015,134.8610829,146.6114736,160,199.3893665,201.7805194
1,Bermondsey,5,St. Mary Magdalen,13934,7.5,SouthwarkVauxhall,1,1,1,0,0,0,dirty_none,87,83,0,0,4,0,53.74951431,,,259,244,200.1236285,158.0106204,12942,15442,134.8610829,146.6114736,160,199.3893665,201.7805194
10,Lewisham,32,Sydenham,4501,5.6,Lambeth,3,,,,,,all,4,0,1,2,0,1,,,,5,,,,,,,,,,